工号,姓名,手机号,部门,权重
1001,马小超,13823983217,销售部,12
1002,高小丽,13899693192,市场部,10
1003,马小红,13875670277,市场部,11
1004,马小军,13861167653,市场部,9
1005,高小芳,13815078926,销售部,9
1006,李小刚,13849975937,技术部,8
1007,徐小娟,13849750084,财务部,10
1008,张小明,13860271825,市场部,8
1009,林小军,13864696450,销售部,11
1010,李小芳,13888137510,技术部,8
1011,林小红,13898527073,财务部,10
1012,刘小超,13813784616,财务部,10
1013,马小娟,13837063300,销售部,12
1014,吴小明,13811698084,市场部,12
1015,王小刚,13813580736,销售部,10
1016,罗小红,13894216719,技术部,11
1017,罗小娟,13825992043,财务部,11
1018,黄小红,13837328910,技术部,11
1019,马小涛,13873023135,市场部,8
1020,陈小丽,13836988999,销售部,9
1021,徐小伟,13864300618,销售部,8
1022,梁小丽,13818458667,技术部,7
1023,林小军,13888684279,财务部,9
1024,罗小明,13810943924,市场部,12
1025,郑小超,13811010691,市场部,12
1026,周小明,13836573866,技术部,12
1027,周小刚,13890778801,财务部,8
1028,郑小军,13882115315,财务部,9
1029,张小红,13823838301,销售部,8
1030,陈小伟,13817381487,财务部,9
1031,赵小红,13898055230,市场部,10
1032,杨小娟,13821017402,市场部,10
1033,张小伟,13890815645,市场部,8
1034,吴小丽,13818555403,销售部,12
1035,孙小军,13844530466,财务部,9
1036,林小刚,13877735037,销售部,9
1037,罗小红,13882132929,市场部,10
1038,马小涛,13854774825,销售部,12
1039,林小涛,13896520381,销售部,9
1040,高小娟,13885348426,技术部,11
1041,周小涛,13857515632,市场部,8
1042,马小芳,13819546145,技术部,12
1043,杨小芳,13835905191,市场部,10
1044,吴小军,13856757098,技术部,7
1045,赵小超,13885023893,销售部,8
1046,周小涛,13881401284,销售部,11
1047,高小明,13839609694,财务部,12
1048,周小伟,13852587480,市场部,8
1049,赵小丽,13835878704,技术部,7
1050,黄小刚,13890886409,财务部,7
1051,吴小刚,13813212906,销售部,12
1052,陈小刚,13861375242,市场部,9
1053,王小军,13813412463,销售部,7
1054,吴小明,13827153040,财务部,8
1055,孙小刚,13892967087,技术部,12
1056,王小丽,13876643167,技术部,8
1057,徐小刚,13897388669,技术部,11
1058,何小娟,13837769456,销售部,12
1059,朱小丽,13835109607,销售部,9
1060,黄小明,13841366973,技术部,12
1061,何小伟,13834685094,财务部,12
1062,黄小伟,13835906363,市场部,11
1063,刘小超,13879609123,财务部,10
1064,赵小红,13830987244,技术部,12
1065,张小红,13821806978,销售部,10
1066,王小芳,13853555044,技术部,9
1067,吴小娟,13892271604,市场部,11
1068,孙小明,13888041194,市场部,12
1069,马小超,13856208495,销售部,7
1070,林小娟,13897139665,财务部,9
1071,张小涛,13889222726,市场部,10
1072,吴小超,13857660400,市场部,10
1073,朱小丽,13879953761,财务部,10
1074,何小伟,13845983074,财务部,7
1075,高小军,13837176855,技术部,8
1076,马小丽,13884792408,技术部,10
1077,徐小涛,13893264466,市场部,11
1078,吴小伟,13862053190,销售部,9
1079,杨小丽,13868814535,财务部,9
1080,刘小红,13845121274,财务部,12
1081,徐小刚,13830616891,技术部,11
1082,何小刚,13886106474,财务部,9
1083,梁小伟,13837724179,技术部,10
1084,高小娟,13863070179,技术部,8
1085,梁小刚,13857297571,财务部,12
1086,黄小红,13820397754,财务部,8
1087,高小丽,13885478066,市场部,11
1088,王小军,13821503863,技术部,7
1089,朱小红,13880541670,销售部,12
1090,罗小刚,13823185633,技术部,7
1091,周小丽,13879429437,销售部,9
1092,周小娟,13882087654,销售部,8
1093,陈小娟,13814928171,销售部,7
1094,何小娟,13817544238,销售部,7
1095,何小军,13847807973,销售部,7
1096,杨小丽,13826038418,市场部,10
1097,高小丽,13898934123,财务部,7
1098,高小涛,13850065713,销售部,7
1099,王小涛,13853037796,销售部,9
1100,周小红,13873111676,销售部,9
1101,吴小军,13838320185,市场部,9
1102,朱小芳,13871648910,市场部,11
1103,李小红,13864005105,销售部,8
1104,杨小红,13820147118,市场部,12
1105,王小红,13885849786,销售部,10
1106,赵小丽,13860883090,财务部,10
1107,张小丽,13874810783,市场部,7
1108,郑小娟,13857842221,财务部,9
1109,罗小超,13852383390,市场部,11
1110,王小超,13827845009,财务部,8
1111,周小丽,13859701845,销售部,10
1112,王小涛,13843185135,市场部,9
1113,罗小涛,13892330788,市场部,11
1114,徐小芳,13854024620,销售部,7
1115,吴小芳,13890447520,财务部,9
1116,郑小超,13824471475,市场部,8
1117,张小刚,13812136717,市场部,11
1118,王小刚,13891315732,财务部,8
1119,孙小超,13884573813,财务部,10
1120,梁小红,13851749869,技术部,9
1121,梁小娟,13868543628,市场部,8
1122,周小涛,13885129805,财务部,11
1123,陈小芳,13895113002,销售部,10
1124,林小伟,13882230329,市场部,10
1125,赵小芳,13881384966,销售部,8
1126,周小丽,13834114335,技术部,9
1127,朱小超,13858873192,技术部,11
1128,马小军,13849673964,技术部,11
